OneView IEC 61400-25-2 Edition 2,NODE,TAGName,Description,SI Unit,Type,DataType,CollectorType
CONN.ConSt,CONN.,ConSt,Provider connection state,Enum,Live Value,Long,Live Value
WALM.ActAlmCnt,WALM.,ActAlmCnt,Number of active alarms,Count,Live Value,Long,Live Value
WALM.ActWarCnt,WALM.,ActWarCnt,Number of active warnings,Count,Live Value,Long,Live Value
WALM.AlmSt,WALM.,AlmSt,Active alarm code,Enum,Live Value,Long,Live Value
WALM.AlmSt_10m_End,WALM.,AlmSt_10m_End,First active alarm code in the 10 minute period,Enum,Endvalue,Long,10 minute tag
WALM.AlmTms_10m_Sum,WALM.,AlmTms_10m_Sum,"Time with an alarm in the each 10 minute periode, i.e. 0-600 seconds",seconds,Summation,Long,10 minute tag
WALM.AlmVal1,WALM.,AlmVal1,First parameter of the active alarm,Enum,Live Value,Double,Live Value
WALM.AlmVal1_10m_End,WALM.,AlmVal1_10m_End,First parameter of the active alarm in the 10 minute period,Enum,Endvalue,Double,10 minute tag
WALM.AlmVal2,WALM.,AlmVal2,Second parameter of the active alarm,Enum,Live Value,Double,Live Value
WALM.AlmVal2_10m_End,WALM.,AlmVal2_10m_End,Second parameter of the active alarm in the 10 minute period,Enum,Endvalue,Double,10 minute tag
WALM.WarSt,WALM.,WarSt,Active warning code,Enum,Live Value,Long,Live Value
WALM.WarSt_10m_End,WALM.,WarSt_10m_End,First active warning code in the 10 minute period,Enum,Endvalue,Long,10 minute tag
WAPC.CutHiTurNum,WAPC.,CutHiTurNum,Number of turbines not running due to high wind speed,Count,,Long,
WAPC.CutLoTurNum,WAPC.,CutLoTurNum,Number of turbines not running due to low wind speed,Count,,Long,
WAPC.DelAct,WAPC.,DelAct,Activate delta control function,Enum,,Long,
WAPC.DelEna,WAPC.,DelEna,Delta function enabled,Enum,,Long,
WAPC.DelSpt,WAPC.,DelSpt,"Set reference value for the delta function, wind power plant active power reserve",W,,Double,
WAPC.Gra,WAPC.,Gra,Wind power plant gradient,W/s,,Double,
WAPC.GraAct,WAPC.,GraAct,Activate gradient control function,Enum,,Long,
WAPC.GraEna,WAPC.,GraEna,Gradient function enabled,Enum,,Long,
WAPC.Hz_10m_Avg,WAPC.,Hz_10m_Avg,Measured Frequency for power control system,Hz,Average,Double,10 minute tag
WAPC.Hz_10m_Max,WAPC.,Hz_10m_Max,Measured Frequency for power control system,Hz,Maximum,Double,10 minute tag
WAPC.Hz_10m_Min,WAPC.,Hz_10m_Min,Measured Frequency for power control system,Hz,Minimum,Double,10 minute tag
WAPC.Hz_10m_Std,WAPC.,Hz_10m_Std,Measured Frequency for power control system,Hz,Standard Deviation,Double,10 minute tag
WAPC.OpTurNum,WAPC.,OpTurNum,Actual number of wind turbines in operation,Count,,Long,
WAPC.TurSt,WAPC.,TurSt,"Status of turbine for SCI UPC Park Controller.
1=Turbine in operation
2=Turbine stopped by UPC
3=Turbine unavailable for control",Enum,,Long,
WAPC.VA,WAPC.,VA,Wind power plant apparent power,VA,,Double,
WAPC.VAAct,WAPC.,VAAct,Activate apparent power control function,Enum,,Long,
WAPC.VAEna,WAPC.,VAEna,Active power control mode enabled controlling apparent power,Enum,,Long,
WAPC.VASpt,WAPC.,VASpt,Set reference value for the wind power plant apparent power output,W,,Double,
WAPC.W,WAPC.,W,Wind power plant active generation,W,,Double,
WAPC.WAct,WAPC.,WAct,Activate active power control function,Enum,,Long,
WAPC.WCap,WAPC.,WCap,Wind power plant active power output capability,W,,Double,
WAPC.WDel,WAPC.,WDel,Wind power plant active power reserve utilizing the delta function – the difference between active power generation capability and active,W,,Double,
WAPC.WDnGraSpt,WAPC.,WDnGraSpt,Set reference value for gradient ramping down the wind power plant active power output,W/s,,Double,
WAPC.WLimEna,WAPC.,WLimEna,Active power limitation mode enabled,Enum,,Long,
WAPC.WMinCap,WAPC.,WMinCap,Wind power plant minimum capability active power,W,,Double,
WAPC.WSpt,WAPC.,WSpt,Set reference value for the wind power plant active power output,W,,Double,
WAPC.WUpGraSpt,WAPC.,WUpGraSpt,Set reference value for gradient ramping up the wind power plant active power output,W/s,,Double,
WAVL.AvlTms,WAVL.,AvlTms,Turbine availability time in seconds (implementation specific),seconds,Total Counter,Long,Live Value
WAVL.AvlTms_Mly_Sum,WAVL.,AvlTms_Mly_Sum,Turbine availability time in seconds (implementation specific),seconds,Summation,Long,Monthly tag
