"entr_tag_id","entr_tag_name","logical_node","sensor_name","presentation_name","si_unit","value_type","data_type","collector_type"
"1","CONN.ConSt","CONN.","ConSt","Provider connection state","Enum","Live Value","Long","Live Value"
"2","SERVER.DmdWSpt","SERVER.","DmdWSpt","Overall Active power setpoint","W","Live Value","Double","Live Value"
"3","SERVER.HddSpaceAvl","SERVER.","HddSpaceAvl","Free disk space on HD drive ","Byte","Live Value","Double","Live Value"
"4","SERVER.HddSpaceAvl_10m_Avg","SERVER.","HddSpaceAvl_10m_Avg","Free disk space on HD drive ","Byte","Average","Double","10 minute tag"
"5","SERVER.HddSpaceAvl_10m_Max","SERVER.","HddSpaceAvl_10m_Max","Free disk space on HD drive ","Byte","Maximum","Double","10 minute tag"
"6","SERVER.HddSpaceAvl_10m_Min","SERVER.","HddSpaceAvl_10m_Min","Free disk space on HD drive ","Byte","Minimum","Double","10 minute tag"
"7","SERVER.HddSpaceAvl_10m_Std","SERVER.","HddSpaceAvl_10m_Std","Free disk space on HD drive ","Byte","Standard Deviation","Double","10 minute tag"
"8","SERVER.OVCpuTm","SERVER.","OVCpuTm","OneView CPU usage","percent","Live Value","Double","Live Value"
"9","SERVER.OVCpuTm_10m_Avg","SERVER.","OVCpuTm_10m_Avg","OneView CPU usage","percent","Average","Double","10 minute tag"
"10","SERVER.OVCpuTm_10m_Max","SERVER.","OVCpuTm_10m_Max","OneView CPU usage","percent","Maximum","Double","10 minute tag"
"11","SERVER.OVCpuTm_10m_Min","SERVER.","OVCpuTm_10m_Min","OneView CPU usage","percent","Minimum","Double","10 minute tag"
"12","SERVER.OVCpuTm_10m_Std","SERVER.","OVCpuTm_10m_Std","OneView CPU usage","percent","Standard Deviation","Double","10 minute tag"
"13","SERVER.OVCpuTmMean","SERVER.","OVCpuTmMean","OneView CPU usage mean","percent","Live Value","Double","Live Value"
"14","SERVER.OVCpuTmMean_10m_Avg","SERVER.","OVCpuTmMean_10m_Avg","OneView CPU usage mean","percent","Average","Double","10 minute tag"
"15","SERVER.OVCpuTmMean_10m_Max","SERVER.","OVCpuTmMean_10m_Max","OneView CPU usage mean","percent","Maximum","Double","10 minute tag"
"16","SERVER.OVCpuTmMean_10m_Min","SERVER.","OVCpuTmMean_10m_Min","OneView CPU usage mean","percent","Minimum","Double","10 minute tag"
"17","SERVER.OVCpuTmMean_10m_Std","SERVER.","OVCpuTmMean_10m_Std","OneView CPU usage mean","percent","Standard Deviation","Double","10 minute tag"
"18","SERVER.OVMemUsage","SERVER.","OVMemUsage","OneView memory usage","Byte","Live Value","Double","Live Value"
"19","SERVER.OVMemUsage_10m_Avg","SERVER.","OVMemUsage_10m_Avg","OneView memory usage","Byte","Average","Double","10 minute tag"
"20","SERVER.OVMemUsage_10m_Max","SERVER.","OVMemUsage_10m_Max","OneView memory usage","Byte","Maximum","Double","10 minute tag"
"21","SERVER.OVMemUsage_10m_Min","SERVER.","OVMemUsage_10m_Min","OneView memory usage","Byte","Minimum","Double","10 minute tag"
"22","SERVER.OVMemUsage_10m_Std","SERVER.","OVMemUsage_10m_Std","OneView memory usage","Byte","Standard Deviation","Double","10 minute tag"
"23","SERVER.OVNumClients","SERVER.","OVNumClients","Number of OneView Active Clients","count","Live Value","Double","Live Value"
"24","SERVER.OVNumClients_10m_Avg","SERVER.","OVNumClients_10m_Avg","Number of OneView Active Clients","count","Average","Double","10 minute tag"
"25","SERVER.OVNumClients_10m_Max","SERVER.","OVNumClients_10m_Max","Number of OneView Active Clients","count","Maximum","Double","10 minute tag"
"26","SERVER.OVNumClients_10m_Min","SERVER.","OVNumClients_10m_Min","Number of OneView Active Clients","count","Minimum","Double","10 minute tag"
"27","SERVER.OVNumClients_10m_Std","SERVER.","OVNumClients_10m_Std","Number of OneView Active Clients","count","Standard Deviation","Double","10 minute tag"
"28","SERVER.OVNumUsers","SERVER.","OVNumUsers","Number of OneView Active Users","count","Live Value","Double","Live Value"
"29","SERVER.OVNumUsers_10m_Avg","SERVER.","OVNumUsers_10m_Avg","Number of OneView Active Users","count","Average","Double","10 minute tag"
"30","SERVER.OVNumUsers_10m_Max","SERVER.","OVNumUsers_10m_Max","Number of OneView Active Users","count","Maximum","Double","10 minute tag"
"31","SERVER.OVNumUsers_10m_Min","SERVER.","OVNumUsers_10m_Min","Number of OneView Active Users","count","Minimum","Double","10 minute tag"
"32","SERVER.OVNumUsers_10m_Std","SERVER.","OVNumUsers_10m_Std","Number of OneView Active Users","count","Standard Deviation","Double","10 minute tag"
"33","SERVER.SysCpuTm","SERVER.","SysCpuTm","System CPU usage","percent","Live Value","Double","Live Value"
"34","SERVER.SysCpuTm_10m_Avg","SERVER.","SysCpuTm_10m_Avg","System CPU usage","percent","Average","Double","10 minute tag"
"35","SERVER.SysCpuTm_10m_Max","SERVER.","SysCpuTm_10m_Max","System CPU usage","percent","Maximum","Double","10 minute tag"
"36","SERVER.SysCpuTm_10m_Min","SERVER.","SysCpuTm_10m_Min","System CPU usage","percent","Minimum","Double","10 minute tag"
"37","SERVER.SysCpuTm_10m_Std","SERVER.","SysCpuTm_10m_Std","System CPU usage","percent","Standard Deviation","Double","10 minute tag"
"38","SERVER.SysCpuTmMean","SERVER.","SysCpuTmMean","System CPU usage mean","percent","Live Value","Double","Live Value"
"39","SERVER.SysCpuTmMean_10m_Avg","SERVER.","SysCpuTmMean_10m_Avg","System CPU usage mean","percent","Average","Double","10 minute tag"
"40","SERVER.SysCpuTmMean_10m_Max","SERVER.","SysCpuTmMean_10m_Max","System CPU usage mean","percent","Maximum","Double","10 minute tag"
"41","SERVER.SysCpuTmMean_10m_Min","SERVER.","SysCpuTmMean_10m_Min","System CPU usage mean","percent","Minimum","Double","10 minute tag"
