Wind_turbine_name,Date_time,Ba_avg,P_avg,Ws_avg,Va_avg,Ot_avg,Ya_avg,Wa_avg
R80736,2014-01-01T01:00:00+01:00,-1.0,642.78003,7.119999900000001,0.66000003,4.6900001,181.34,182.00999
R80721,2014-01-01T01:00:00+01:00,-1.01,441.06,6.3899999,-2.48,4.9400001,179.82001,177.36
R80790,2014-01-01T01:00:00+01:00,-0.95999998,658.53003,7.110000099999999,1.0700001000000001,4.5500002,172.39,173.50999
R80711,2014-01-01T01:00:00+01:00,-0.93000001,514.23999,6.869999900000001,6.9499998,4.3000002,172.77,179.72
R80790,2014-01-01T01:10:00+01:00,-0.95999998,640.23999,7.0100002,-1.9,4.6799998,172.39,170.46001
R80736,2014-01-01T01:10:00+01:00,-1.0,511.59,6.690000099999999,-3.3399998999999996,4.6999998,181.34,178.02
R80711,2014-01-01T01:10:00+01:00,-0.93000001,692.33002,7.679999799999999,4.7199998,4.380000099999999,172.77,177.49001
R80721,2014-01-01T01:10:00+01:00,-1.01,457.76000999999997,6.48,-4.9299998,5.02,179.82001,174.91
R80711,2014-01-01T01:20:00+01:00,-0.93000001,580.12,7.349999900000001,6.8400002,4.1999998,172.77,179.59
R80721,2014-01-01T01:20:00+01:00,-1.01,396.26001,6.1599998,-1.9400001,4.880000099999999,179.82001,177.85001
R80790,2014-01-01T01:20:00+01:00,-0.94999999,523.13,6.690000099999999,0.94,4.6100001,172.39,173.38
R80736,2014-01-01T01:20:00+01:00,-1.0,394.56,6.380000099999999,-2.01,4.5100002,181.34,179.3
R80736,2014-01-01T01:30:00+01:00,-1.0,529.16998,6.820000200000001,1.47,4.6900001,181.34,182.8
R80790,2014-01-01T01:30:00+01:00,-0.94999999,599.26001,7.130000099999999,3.0,4.630000099999999,172.39,175.39999
R80711,2014-01-01T01:30:00+01:00,-0.93000001,559.48999,7.130000099999999,9.5200005,4.2600002,172.77,182.28999
R80721,2014-01-01T01:30:00+01:00,-1.01,471.54000999999994,6.670000099999999,0.17,4.9899998,179.82001,180.00999
R80721,2014-01-01T01:40:00+01:00,-1.01,404.85999,6.3600001,-0.74000001,5.079999900000001,179.82001,179.10001
R80711,2014-01-01T01:40:00+01:00,-0.93000001,349.01001,6.46,11.92,4.4400001,173.75,190.17999
R80736,2014-01-01T01:40:00+01:00,-1.0,509.39999000000006,6.8400002,2.28,4.79,181.34,183.64999
R80790,2014-01-01T01:40:00+01:00,-0.94999999,495.60999000000004,6.73,2.99,4.71,172.39,175.34
R80721,2014-01-01T01:50:00+01:00,-1.01,432.45999000000006,6.4299998,0.16,5.1799998,179.82001,179.92
R80790,2014-01-01T01:50:00+01:00,-0.94999999,602.69,7.04,2.54,4.880000099999999,172.39,174.94
R80736,2014-01-01T01:50:00+01:00,-1.0,545.84998,6.880000099999999,1.2,4.9699998,181.34,182.55
R80711,2014-01-01T01:50:00+01:00,-0.93000001,458.88,6.79,1.29,4.5,178.25,179.56
R80790,2014-01-01T02:00:00+01:00,-0.94999999,618.71997,7.139999900000001,2.9100001,5.0100002,175.46001,187.42999
R80711,2014-01-01T02:00:00+01:00,-0.93000001,470.26000999999997,6.780000200000001,8.2299995,4.6999998,178.25,186.48
R80721,2014-01-01T02:00:00+01:00,-1.01,512.13,6.809999900000001,3.45,5.3499999,179.82001,183.3
R80736,2014-01-01T02:00:00+01:00,-1.0,455.92999000000003,6.690000099999999,6.690000099999999,5.1599998,181.34,188.0
R80790,2014-01-01T02:10:00+01:00,-0.94999999,387.56,6.1799998,-1.3,5.0100002,184.47,183.13
R80721,2014-01-01T02:10:00+01:00,-1.01,419.32001,6.599999900000001,8.1800003,5.420000099999999,179.82001,187.98
R80736,2014-01-01T02:10:00+01:00,-1.0,494.5,6.7399998,1.3,5.29,191.60001,203.53999
R80711,2014-01-01T02:10:00+01:00,-0.93000001,712.28998,7.3000002,-2.73,4.880000099999999,191.60001,191.99001
R80736,2014-01-01T02:20:00+01:00,-1.0,458.75,6.5,-6.809999900000001,5.3400002,202.2,195.39
R80721,2014-01-01T02:20:00+01:00,-1.01,361.42001,6.4099998,15.04,5.579999900000001,179.82001,194.86
R80711,2014-01-01T02:20:00+01:00,-0.93000001,674.91998,7.2600002,-1.53,4.9000001,194.72,193.19
R80790,2014-01-01T02:20:00+01:00,-0.94999999,538.90002,6.7399998,2.4200001,5.1399999,184.47,186.87
R80711,2014-01-01T02:30:00+01:00,-0.93000001,695.51001,7.29,-1.08,4.9000001,194.72,193.62
R80790,2014-01-01T02:30:00+01:00,-0.95999998,669.76001,7.3000002,5.23,5.21,184.47,189.7
R80736,2014-01-01T02:30:00+01:00,-1.0,618.25,6.98,-4.4299998,5.3600001,202.2,197.77
R80721,2014-01-01T02:30:00+01:00,-1.01,572.01001,7.079999900000001,0.81,5.5999999,190.72,193.83
R80711,2014-01-01T02:40:00+01:00,-0.93000001,694.76001,7.3000002,1.77,4.920000099999999,194.72,196.46001
R80790,2014-01-01T02:40:00+01:00,-0.94999999,549.34003,6.7600002,5.4400001,5.2800002,184.47,189.91
R80721,2014-01-01T02:40:00+01:00,-1.01,504.45999000000006,6.73,-1.1,5.5999999,192.99001,191.89
R80736,2014-01-01T02:40:00+01:00,-1.0,576.53003,6.809999900000001,-5.1399999,5.420000099999999,202.2,197.05
R80721,2014-01-01T02:50:00+01:00,-1.01,392.35001,6.2800002,-1.38,5.6399999,192.99001,191.64
R80790,2014-01-01T02:50:00+01:00,-0.94999999,400.54999,6.2199998,6.6599998,5.29,184.47,191.11
R80711,2014-01-01T02:50:00+01:00,-0.93000001,485.94,6.650000099999999,2.1700001,4.9299998,194.72,196.92
R80736,2014-01-01T02:50:00+01:00,-1.0,368.01999,6.02,-2.9200001,5.4699998,202.2,199.3
R80790,2014-01-01T03:00:00+01:00,-0.94999999,434.0,6.4899998,7.5900002,5.380000099999999,184.47,192.00999
R80711,2014-01-01T03:00:00+01:00,-0.93000001,464.54999000000004,6.599999900000001,-0.74000001,5.0,194.72,193.98
R80721,2014-01-01T03:00:00+01:00,-1.01,338.76999,6.0900002,1.8,5.6999998,192.99001,194.78999
R80736,2014-01-01T03:00:00+01:00,-1.0,517.78003,6.719999799999999,-2.6500001,5.6399999,202.2,199.52
R80736,2014-01-01T03:10:00+01:00,-1.0,548.7000099999999,6.77,-1.6799999,5.8000002,202.2,200.53
